product_category_name,agro_industria_e_comercio,alimentos,alimentos_bebidas,artes,artigos_de_natal,audio,automotivo,bebes,bebidas,beleza_saude,brinquedos,cama_mesa_banho,casa_conforto,casa_construcao,climatizacao,consoles_games,construcao_ferramentas_construcao,construcao_ferramentas_iluminacao,construcao_ferramentas_jardim,construcao_ferramentas_seguranca,cool_stuff,eletrodomesticos,eletronicos,eletroportateis,esporte_lazer,fashion_bolsas_e_acessorios,fashion_calcados,fashion_roupa_masculina,ferramentas_jardim,industria_comercio_e_negocios,informatica_acessorios,instrumentos_musicais,livros_interesse_geral,malas_acessorios,market_place,moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao,moveis_escritorio,moveis_quarto,moveis_sala,papelaria,pcs,perfumaria,pet_shop,relogios_presentes,sinalizacao_e_seguranca,telefonia,telefonia_fixa,utilidades_domesticas
agro_industria_e_comercio,1.0000000000000002,2.128953335124703e-17,1.5702399680866965e-16,-1.0560913633664639e-17,2.4985811393992426e-17,9.992816021390919e-17,4.31497147468682e-17,-1.4378537411748413e-16,-1.7495855143294814e-16,-1.8759584618694801e-16,-4.4296008287173905e-17,-3.819709394894654e-16,-1.5908224428635824e-16,3.8480183340609826e-17,-1.0020893795050992e-18,1.1641296379402247e-16,-8.668793876732667e-17,-1.5098508016870152e-16,1.6344924174938099e-16,2.159061314877823e-16,6.686322145502157e-18,-6.075242006656677e-17,-4.104429618868032e-17,-1.3812645244045534e-16,2.6155973287857406e-16,-1.6629214086874576e-16,-1.9701040989542773e-16,-1.120091307590595e-16,-1.3953727546052487e-17,5.078091533368272e-17,2.0413966235271433e-16,-9.573947582339774e-17,-1.5018562935022339e-16,-1.3538902681762519e-17,-4.307965410725717e-17,5.194382594952431e-17,0.028044890693638126,8.670592321197508e-17,2.776962049083834e-16,-1.4507283375324285e-16,3.3366501459699217e-17,0.0034077779763117804,-8.445053520351583e-17,2.929594777587009e-17,3.182053373575373e-16,1.2998463961941943e-17,-1.9173202078853867e-16,-1.6880205090746654e-16,0.0312047091187106
alimentos,2.128953335124703e-17,1.0,1.187576111160533e-16,4.73689486114934e-17,-8.819070235874562e-17,0.059665895018022726,-1.732660255482706e-17,2.2252642838794764e-16,1.0092766356259117e-16,0.009760875450733328,1.8089212975448393e-16,-5.668954054160008e-17,-4.0773305238550933e-16,-1.2830256796069217e-16,-1.2371165797628945e-16,-5.351807382207784e-16,-6.530929318361916e-17,-3.558155699543347e-16,-1.3180851026296445e-16,-1.3051458782985056e-16,-2.3881785507488927e-16,-1.4196404116475503e-16,0.0027333983053981926,-2.576796571034895e-16,0.06082487337594666,9.660988625947952e-17,-4.3605516021620184e-17,-1.2136031633570878e-16,1.4030131113036371e-16,-3.7297048085038327e-16,-2.5696276362650914e-17,4.0560491865102387e-16,6.408419787019475e-17,0.09388641384880515,6.675697873335719e-17,2.3570344685603666e-16,0.020066458725934835,2.1050800011285275e-16,2.5632789852265117e-16,2.714430760635276e-16,4.7599402473684806e-18,-0.0027604963076215882,0.10371640432016307,0.05491009960249894,0.03197609912809646,3.154124738885475e-16,-6.756686255714711e-17,-1.2183850846676094e-16,-1.0668549377257364e-16
alimentos_bebidas,1.5702399680866965e-16,1.187576111160533e-16,1.0000000000000002,1.451357460640966e-17,2.8065633716787646e-17,1.8706364897726517e-17,0.010867434868951644,-2.377508761611828e-16,4.1047430437401195e-17,0.08104724285001383,-1.5840543704095006e-16,0.01908782929015257,0.0745395483052657,-4.066949177098333e-17,2.2721891346035807e-17,0.024256474347111746,-1.214499246314389e-16,-4.164950343320614e-16,1.7506328688249548e-17,-1.6159800572807463e-18,5.782703612766905e-17,2.5410040191141935e-16,-1.6138882056277508e-16,-4.4328658894407667e-16,0.058051231170899026,0.050714014687234944,1.2825987792985988e-16,-2.519262531142903e-16,0.00926730480100211,1.9472411412113175e-16,0.046420177316624026,2.5340249324204322e-17,-6.184730056468359e-17,0.026952540734242376,1.2068928099784012e-16,7.923124952587861e-17,-2.5764915655777098e-17,6.424143185527415e-16,1.135409977651262e-16,-1.0490956069996408e-17,0.09048739142435075,-0.0036501214080033946,-1.3302964122937188e-16,5.554018726177779e-16,0.05622487970856026,-8.595078218956138e-17,7.542735800276653e-17,-3.022456391140795e-17,0.09073210817988156
artes,-1.0560913633664639e-17,4.73689486114934e-17,1.451357460640966e-17,1.0000000000000002,5.3523136696938435e-17,6.461411721570142e-17,-1.2604613248923834e-16,3.3807795001199813e-18,-2.210842459773633e-16,5.150759309885081e-17,-2.1131735137858626e-16,-2.804714132754134e-17,1.7911471757999974e-16,7.56179901365373e-17,3.3898073984550275e-18,4.3077795777332404e-17,-4.673038020268746e-16,-1.9157969394557166e-16,7.401231831038863e-17,1.6302901151694805e-16,-3.1468472149614403e-16,-2.85356691010142e-16,3.7238931253257253e-17,3.7328889208875527e-16,-2.0307223674328263e-17,0.06040175162572481,-2.2061403194405374e-16,-7.501365502363298e-16,0.008278206423050223,3.294012414670571e-16,-7.059543876585077e-17,-4.1802808257129335e-17,2.3873574588596867e-17,-1.748699702808569e-18,4.4429969450507234e-17,1.1768948903857273e-16,0.04978524244354997,1.023602139886761e-16,-1.4829774919694968e-16,-1.4577791703982749e-16,-4.7020311200787155e-16,0.9957313639092277,-3.715827948296663e-16,-1.896781945016034e-17,-3.308049593161544e-16,-4.408454972510736e-17,-3.856081555396697e-17,1.36609098311384e-16,1.0495077029659683e-16
artigos_de_natal,2.4985811393992426e-17,-8.819070235874562e-17,2.8065633716787646e-17,5.3523136696938435e-17,1.0,2.403998590667252e-16,0.020915756854527567,-6.679236163689871e-17,-7.105575816823781e-17,1.6983619119603983e-16,-2.418696828112412e-16,-3.17746146381367e-17,-3.192382641797433e-17,-4.2026068663196995e-17,5.5158410782568577e-17,-2.4734961652274868e-17,2.471352693836193e-17,1.1534146118655385e-17,-1.581691112958966e-17,-9.472806737125366e-17,-4.3646133635512276e-17,-2.90503779311515e-17,-1.3962142208718113e-16,3.616006840726198e-17,1.2260448891812642e-16,0.09760555394223215,-1.4322948532643329e-16,-2.7131891466613684e-17,6.518539288198523e-17,-2.4820130382806166e-16,5.3519593354079806e-17,-2.2582377326590145e-16,-8.041595482498423e-18,8.249897292229352e-17,1.5511406775905968e-16,4.341675207090448e-17,0.012318894204587311,3.5870690009633523e-17,-1.1282379696358657e-16,7.275947896166343e-17,5.40089971273438e-17,-0.015781109079132282,4.736628334581429e-17,7.557613339966466e-17,0.12023545853995232,-3.084434766745033e-16,-7.622256990285292e-17,1.5691913134120278e-16,1.8865117801247777e-17
audio,9.992816021390919e-17,0.059665895018022726,1.8706364897726517e-17,6.461411721570142e-17,2.403998590667252e-16,0.9999999999999999,-1.431275206081727e-16,1.1307905583661939e-16,1.1571472501133874e-16,6.362696810582502e-17,-1.448455105084897e-17,-4.29075452415839e-17,-1.1413845638864726e-16,-2.8101216079253744e-17,2.1766469430895017e-16,-8.3117604895243e-17,-2.8755089632248885e-17,-1.481175317058635e-16,3.2055101841384173e-16,1.707487960520026e-17,0.038943451095588465,-2.0528161681523014e-16,0.10570313163539415,-5.168458624697537e-17,0.027036277429447687,0.0075285899726486956,-1.6393722072212422e-16,-3.4684882471148765e-16,-4.50829362471608e-17,-9.830921774276573e-17,-2.049859903605454e-17,9.898389512870093e-17,2.2597474752882817e-16,1.806720848587863e-16,-3.3486417942134456e-16,-2.361910566164413e-16,6.579924289685184e-18,-2.178907373881664e-17,-3.6752913321896575e-17,9.107543508516142e-17,-5.547161174032781e-18,-0.008379581992535788,7.786209966796283e-18,1.57907694846291e-17,0.09892371144442046,-2.943724495407169e-16,0.07854089275934097,7.261560935570057e-17,-5.551115123125783e-17
automotivo,4.31497147468682e-17,-1.732660255482706e-17,0.010867434868951644,-1.2604613248923834e-16,0.020915756854527567,-1.431275206081727e-16,1.0000000000000002,0.024748608868741022,0.048710641880481985,0.04926540787580091,0.01635458729278392,0.04056468157718277,1.1062412919369677e-16,0.026572810061174096,-2.1687170219254058e-17,0.023527101275610526,0.008309326150197837,3.343554479670948e-16,0.06807105172991501,0.12422662087685735,0.05634946708170736,0.027449120308441,0.026596702616847566,-1.7544385673185213e-16,0.01279942982898004,0.03772527862607944,1.698440269359516e-16,-1.184869127188855e-16,0.02502070889825234,-2.5527844287792966e-16,0.0025697612838056576,0.04885498425154124,1.1257412606019222e-16,0.033847611427328395,7.368050679603717e-18,0.03343723084560399,0.03513798790683897,0.006491309749165337,0.05032963228268705,1.244736983669438e-16,0.04090900200887521,0.0020229629021370297,0.024800475571006203,0.08605201232645758,0.032566359265556184,1.8283951404878976e-16,0.05200191534036864,-2.0960486411158052e-16,0.013080241554159766
bebes,-1.4378537411748413e-16,2.2252642838794764e-16,-2.377508761611828e-16,3.3807795001199813e-18,-6.679236163689871e-17,1.1307905583661939e-16,0.024748608868741022,1.0000000000000002,1.3870934494119222e-17,0.009450003125252055,0.16033656489121362,0.06384379443251768,-1.8856980502022221e-16,4.247974040328125e-16,6.32690190415556e-17,0.041642246082524335,1.0943233703059883e-16,0.007133264238380664,5.00063537725611e-17,4.021058134473997e-18,0.04882218793264858,9.4053386222684e-17,1.0972705349686161e-16,-2.5553438341554426e-16,0.04043799396462112,0.059345097577071036,-1.0358694115345826e-17,-5.439698574730958e-17,0.0420014074271424,1.0732012343189431e-16,0.012750677080939429,-6.793961264326679e-17,2.118002102493626e-17,5.1591459636593295e-17,3.692907242660533e-17,2.91806569184025e-17,0.04467092139771753,-1.0268207468851498e-16,-4.598322612552055e-17,0.03936965601254377,0.05072457775660344,0.001944316263307807,6.750348959793659e-16,-5.049637289710084e-16,0.002745569617046,1.636277987111676e-16,0.022243432998806628,5.927557089017268e-17,0.08671929874127199
bebidas,-1.7495855143294814e-16,1.0092766356259117e-16,4.1047430437401195e-17,-2.210842459773633e-16,-7.105575816823781e-17,1.1571472501133874e-16,0.048710641880481985,1.3870934494119222e-17,1.0,0.04188342624043672,3.9855921499755235e-18,4.370076008698459e-17,3.6469835092983404e-16,-1.341452405273292e-16,-9.968713783272892e-17,2.5917186449221588e-17,-5.091924749371124e-16,-1.8975610274974852e-17,-2.2104440997273818e-17,-4.659591259530481e-17,1.0699965511929483e-16,-3.10437461019822e-16,0.06252794573726456,-7.006045074136338e-17,0.05548394477818057,4.567806566597603e-19,-9.407686060025954e-17,-2.0429227163330042e-17,-6.327794557475293e-17,1.2179178621991602e-19,0.029129406569182267,-3.8806162964558674e-17,3.711824373515239e-17,3.062434151417908e-16,-2.6874773096190908e-17,-1.6283347549247064e-16,0.0034427321839896594,1.8036329121551944e-16,-1.0084705891531488e-16,-1.1194646703918525e-16,0.039747603662609945,0.002656830041154458,-6.168073992094098e-17,2.6500978144612066e-16,-5.873155888488906e-17,-3.22449439552415e-17,0.09364657029276549,2.6974723770126428e-17,0.01916110492683922
beleza_saude,-1.8759584618694801e-16,0.009760875450733328,0.08104724285001383,5.150759309885081e-17,1.6983619119603983e-16,6.362696810582502e-17,0.04926540787580091,0.009450003125252055,0.04188342624043672,0.9999999999999998,0.007018876139483134,0.04172441028712684,0.029554861469616302,5.781262449956876e-16,1.884210678878964e-16,0.048108384230317144,0.005832410272783124,4.731995360425854e-16,-1.2654757294731764e-17,1.1946914307543325e-17,0.06397390302273903,3.724657848631689e-16,0.005646435459518158,4.1091183254924935e-16,0.09292379654655179,0.009852949195914491,0.0737086665284881,-1.2783666145737332e-16,0.018380043767538986,-4.5068638580600444e-17,0.047594807312610926,-6.512951703167532e-17,0.0361544499474971,0.07919340791680737,-6.21066610721644e-17,1.2440178751095282e-16,0.04124442605160841,0.0034172429551297193,2.1720215806495954e-16,2.031517374739146e-16,0.048591953460338996,0.0004706061977141488,0.0610502660556643,0.013895038925150649,0.049763180971189584,0.07000561665343046,0.010488716725732063,-2.350185359755566e-16,0.030792231385777358
