product_category_name,total_purchase,avg_score,unique_buyers,norm_purchase,norm_score,popularity_score
moveis_decoracao,1875,3.538666666666667,595,1.0,0.7610035842293906,0.9283010752688171
cama_mesa_banho,1624,3.501847290640394,529,0.8661333333333333,0.7530854388473965,0.8322189649875522
informatica_acessorios,1071,3.3398692810457518,293,0.5712,0.718251458289409,0.6153154374868227
utilidades_domesticas,986,3.530425963488844,302,0.5258666666666667,0.7592313899976008,0.5958760836659469
esporte_lazer,812,3.647783251231527,270,0.43306666666666666,0.7844695163938767,0.5384875215848296
beleza_saude,696,3.8089080459770117,221,0.3712,0.8191200098875293,0.5055760029662587
ferramentas_jardim,676,3.5236686390532546,200,0.3605333333333333,0.7577782019469365,0.4797067939174142
relogios_presentes,332,3.5602409638554215,113,0.17706666666666668,0.765643218033424,0.35363963207669386
moveis_escritorio,393,3.2061068702290076,103,0.2096,0.6894853484363457,0.3535656045309037
automotivo,272,3.8566176470588234,101,0.14506666666666668,0.829380139152435,0.3503607084123972
fashion_bolsas_e_acessorios,218,4.032110091743119,86,0.11626666666666667,0.8671204498372299,0.3415228016178356
pet_shop,177,4.011299435028248,63,0.0944,0.862645039791021,0.3248735119373063
construcao_ferramentas_construcao,182,3.9615384615384617,51,0.09706666666666666,0.8519437551695616,0.3235297932175351
brinquedos,185,3.843243243243243,78,0.09866666666666667,0.8265039232781167,0.31701784365010166
perfumaria,192,3.7552083333333335,72,0.1024,0.8075716845878136,0.3139515053763441
eletrodomesticos,98,4.204081632653061,31,0.05226666666666667,0.9041035769146367,0.30781773974105764
pcs,20,4.65,7,0.010666666666666666,1.0,0.30746666666666667
cool_stuff,171,3.7134502923976607,74,0.0912,0.7985914607306797,0.30341743821920386
fashion_calcados,20,4.5,10,0.010666666666666666,0.9677419354838709,0.29778924731182793
livros_interesse_geral,28,4.428571428571429,9,0.014933333333333333,0.9523809523809523,0.296167619047619
telefonia,211,3.3507109004739335,66,0.11253333333333333,0.7205829893492329,0.29494823013810323
papelaria,139,3.7194244604316546,54,0.07413333333333333,0.7998762280498182,0.29185620174827875
sinalizacao_e_seguranca,52,4.1923076923076925,13,0.027733333333333332,0.901571546732837,0.28988479735318445
moveis_quarto,15,4.4,7,0.008,0.946236559139785,0.2894709677419355
bebes,168,3.4523809523809526,75,0.0896,0.742447516641065,0.28545425499231947
casa_construcao,106,3.641509433962264,41,0.05653333333333333,0.7831203083789815,0.27450942584702775
construcao_ferramentas_iluminacao,61,3.8688524590163933,24,0.03253333333333333,0.8320112815089017,0.2723767177860038
bebidas,86,3.7209302325581395,25,0.04586666666666667,0.800200050012503,0.2721666816704176
alimentos_bebidas,57,3.8771929824561404,20,0.0304,0.8338049424636861,0.2714214827391058
eletronicos,162,3.2160493827160495,60,0.0864,0.6916235231647417,0.2679670569494225
artigos_de_natal,19,4.0,7,0.010133333333333333,0.8602150537634408,0.26515784946236554
malas_acessorios,38,3.789473684210526,19,0.020266666666666665,0.8149405772495755,0.2586688398415393
market_place,27,3.8518518518518516,9,0.0144,0.8283552369573873,0.25858657108721617
construcao_ferramentas_seguranca,32,3.78125,10,0.017066666666666667,0.8131720430107526,0.2558982795698925
agro_industria_e_comercio,23,3.8260869565217392,6,0.012266666666666667,0.8228143992519868,0.2554309864422627
consoles_games,41,3.658536585365854,19,0.021866666666666666,0.7867820613690008,0.2513412850773669
moveis_sala,88,3.3863636363636362,31,0.046933333333333334,0.7282502443792765,0.2513284066471163
eletroportateis,34,3.676470588235294,16,0.018133333333333335,0.790638836179633,0.24988498418722324
instrumentos_musicais,41,3.5853658536585367,14,0.021866666666666666,0.7710464201416207,0.24662059270915287
alimentos,47,3.4893617021276597,17,0.025066666666666668,0.750400366048959,0.24266677648135435
casa_conforto,48,3.2708333333333335,27,0.0256,0.703405017921147,0.22894150537634408
construcao_ferramentas_jardim,30,3.3,10,0.016,0.7096774193548386,0.22410322580645156
industria_comercio_e_negocios,24,3.2083333333333335,10,0.0128,0.6899641577060932,0.21594924731182796
climatizacao,24,3.1666666666666665,10,0.0128,0.6810035842293906,0.21326107526881716
audio,11,3.1818181818181817,7,0.005866666666666667,0.6842619745845552,0.20938525904203323
fashion_roupa_masculina,17,3.0,7,0.009066666666666667,0.6451612903225806,0.19989505376344086
telefonia_fixa,41,2.4634146341463414,10,0.021866666666666666,0.5297665879884604,0.1742366430632048
moveis_cozinha_area_de_servico_jantar_e_jardim,19,2.3684210526315788,9,0.010133333333333333,0.5093378607809846,0.15989469156762873
artes,10,1.7,5,0.005333333333333333,0.3655913978494623,0.11341075268817204
